Date,JPM,BRK.b,BAC,WFC,C,GS,USB,MS,PNC,CHCO,CSBK,AAPL,AMD,ORCL
2016-01-29,56.896812017497,129.77,13.769464079960999,47.318593181235,41.630574024542,157.61081806573,38.447993988924,24.92523473047,83.74695306978799,42.1768223507,14.046486853026,94.044912454993,2.2,35.338452794834
2016-02-01,56.284812694955995,128.66,13.594180944572,47.045402020124996,41.532803770844005,155.74750621561,38.198456334477,24.761506372503,83.205714827213,41.436878098934,14.104892203766001,93.165717156719,2.14,35.348185224687
2016-02-02,54.534877132065,125.7,12.883310451053,45.999739300014,39.518736544668,147.99183647296005,37.190708114597996,23.596145706975,80.992437013828,41.21868940931,14.075689528396001,91.281727231844,1.99,34.404139528984
2016-02-03,54.898251729824,126.24,12.688551411731998,45.194296393983,39.46007439245,148.94788129658002,37.699381025585,23.422786269127997,81.040761856915,41.152284155947,13.783662774695001,93.08842526236499,2.07,34.735042143972
2016-02-04,55.84493818188,127.44,12.902786354985,45.811445399363,39.88048648335,152.6647494374,38.495981999394004,24.087330780875,82.045918593125,41.019473649218995,13.608446722474001,93.83235974552,2.09,35.474706812771004
2016-02-05,55.223376369924004,126.56,12.610647796003999,45.441155996134995,38.971223123961,152.64523831854999,38.476786795205996,23.451679508769,80.770142735628,40.611555664271,13.511104471241,91.32627808772,1.98,34.744774573825005
2016-02-08,54.066315150745,126.78,11.948467062314,44.149890384878,36.966932923155,145.6017244139,37.939321077937,21.833658088862,79.030448384496,41.161770620713,13.686320523461001,92.28791407269001,1.93,34.657182705152
2016-02-09,53.741190510645,127.72,11.880301398552001,44.102417384464,36.673622162061,144.62616847143,37.814552250714,22.084066165752002,79.446042035044,41.161770620713,13.666852073215,92.268487083095,1.9,34.141363922963
2016-02-10,53.090941230445004,126.58,11.666066455299001,43.836568582146995,36.575851908363,143.63110141011,37.469038575325996,21.862551328503,78.779159200443,40.573609805206,13.608446722474001,91.569115457662,1.84,34.258153081194
2016-02-11,50.748131323842,125.09,10.867554394085,42.877613973787,34.200034743505995,137.25096554633998,35.943019842366,20.889812260583,75.551059682231,40.099286566894,13.666852073215,91.015446254195,1.86,33.9077856065
2016-02-12,54.974751645142,128.07,11.636852599401,44.918952991582,36.702953238171,142.55798987339,37.526624187891,22.238163443839003,78.21859102063401,41.209202944544,13.949144601792,91.297137603327,1.83,34.589055696183
2016-02-16,55.797125734806,128.56,11.928991158382,45.80195079927999,38.022851663091004,145.37734654713,38.572762816147,22.844921476304002,80.480193677106,41.474823957999,14.202234455,93.871213724711,1.83,34.744774573825005
2016-02-17,56.198750290224,130.26,12.230867669329,45.697510198368995,38.893006921002005,147.25041395668,38.505579601488,23.336106550204,81.243726197881,41.237662338843,14.338513606727,95.308810954766,1.9,35.649890550117995
2016-02-18,55.280751306412,130.86,11.919253206415998,45.317726195059,38.052182739201,144.11887938133998,37.900930669561,23.076067393433,79.813310842505,41.209202944544,14.377609758347,93.50210092239901,1.91,35.649890550117995
2016-02-19,55.290313795827,131.05,11.81213573479,45.659531798037996,38.120621916789,143.31892350852,37.872137863278,23.114591712954997,80.045270089323,41.304067592206,14.514446289017998,93.28840403685,1.91,35.795876997907
2016-02-22,56.00750050193001,131.99,12.211391765397,46.703937807143,38.638804261388,145.15296868036,38.611153224523,23.634670026496,81.620659973959,41.417905169401,14.465576099493001,94.104337599855,2.01,36.117047183043
2016-02-23,53.664690595326995,130.74,11.841349590687999,45.669026398121005,37.367790963316004,141.36781162357,37.305879339727,22.835290396423,80.035605120705,41.256635268375,14.348287644632,91.977082239165,1.97,35.572031111297
2016-02-24,53.683815574156,131.03,11.81213573479,45.203790994064995,37.240689633509,142.00192298618,36.893182449681,22.835290396423,79.542691721218,41.484310422765,14.367835720441999,93.346685005636,2.02,35.649890550117995
2016-02-25,54.515752153236,132.31,11.997156822144001,45.336715395224,37.758871978107,144.62616847143,37.565014596267,23.721349745420003,80.161249712732,41.844796083881995,14.563316478544,93.987775662283,2.03,36.29223092039
2016-02-26,55.022564092215006,131.92,12.367198996853,45.640542597873,38.619250210648,146.57728035636998,37.708978627679,24.231796979081,81.156741480324,42.309632857428,14.514446289017998,94.13347808424801,2.07,35.971060735254
2016-02-29,53.836815404792006,134.17,12.191915861465,44.548663588353996,37.983743561612,146.5089914404,36.969963266434,23.788767304583,78.585859828095,41.806850224817,14.426479947873002,93.919781198699,2.14,35.795876997907
2016-03-01,56.609937335056,136.94,12.844358643188,46.257691603253,40.3497837011,151.52555023245,38.294432355418,25.127487407958004,81.649654879812,43.097009433026,14.533994364828,97.649763201006,2.18,36.973501010073
2016-03-02,57.145436742280005,136.73,13.107283346271,47.064732610288,41.27860111123,151.08464174486,38.899081287346,25.146749567719002,82.77079123943001,43.391089840778996,14.621960705973999,97.863460086554,2.32,36.749655123463
2016-03-03,57.336686530574,136.84,13.195251690876999,47.254624611943996,41.874999658786,152.19181194701,39.129423737604,25.17564280736,83.679298289466,43.931818332454995,14.749023198739998,98.59197219638,2.46,36.876176711547
2016-03-04,57.422748935306,137.97,13.234348732924,47.577441014757994,41.874999658786,153.67130487201,39.37896139205,25.166011727479997,84.375176029919,44.083601768715,14.84676357779,100.05870991083,2.37,36.876176711547
2016-03-07,57.31756155174401,138.72,13.224574472412,47.539462614427,41.659905100651,152.2114078798,39.129423737604,25.127487407958004,84.046567096927,44.26384459927301,14.983600108461001,98.95137150389401,2.47,37.33360091462
2016-03-08,56.208312779638995,137.8,12.765184228359999,46.571013405984004,40.134689142965,148.53717048328002,38.246444344948,24.087330780875,82.219888028238,43.74208903713,14.739249160835,98.13543794088899,2.3,37.129219887715
2016-03-09,56.533437419738,139.13,12.843378312454,46.324153803832,40.232459396662996,146.88131416325,38.160065926101,23.702087585658997,81.784964440455,43.410062770312,14.592638592259,98.222859394068,2.26,37.450390072851
2016-03-10,56.045750459589,138.62,12.970443699107001,46.058305001514995,40.447553954798,147.96888843262,37.920125873749,23.740611905180998,82.28754280856,43.38160337601301,14.641508781784001,98.271426868057,2.26,37.031895589189
2016-03-11,56.743812186862,140.65,13.478705245718,47.539462614427,42.031432064703004,150.82989461871,38.831898072687004,25.040807689035002,83.505328854353,44.055142374416,14.797893388264999,99.330197801003,2.52,37.907814275924004
2016-03-14,56.533437419738,139.72,13.332091338042,47.359065212854006,41.71856725287,150.38898613112,38.860690878969,24.954127970111,82.944760674543,43.789521360961,14.700153009214999,99.582748665742,2.72,37.664503529609
2016-03-15,56.609937335056,140.4,13.263671514459,47.454011213682,41.640351049912,148.95848303808,39.148618941792,24.491836135851997,82.915765768691,43.125468827324,14.543768402734,101.58372859406,2.49,37.703433249019
2016-03-16,56.342187631444,139.83,13.009540741154005,47.03624881004001,41.288378136599,147.49858604586,38.908678889440004,24.231796979081,81.852619220777,42.584740335649,14.602412630164,102.93390437094,2.63,39.143832867206
2016-03-17,56.179625311394,142.4,13.097509085759,47.216646211612996,41.894553709526,149.82070408046005,39.052642920851,24.896341490829002,82.345532620265,43.855926614325,14.954277994746,102.76877495938,2.8,39.523397631458
2016-03-18,57.833935980137994,142.16,13.478705245718,47.985708818317,42.569168460041,154.41595031771,39.657291852779004,25.310477925686,83.273369607535,44.40614157076701,14.797893388264999,102.88533689695,2.93,40.370119028635
2016-03-21,57.814811001309,142.13,13.527576548276999,48.10913861939299,42.62783061226,153.13241672052,39.714877465343,24.983021209752003,83.312029482005,44.482033288897,14.749023198739998,102.87562340215,2.8,40.496640616719
2016-03-22,57.604436234186004,142.18,13.449382464183,47.82430061691,42.412736054125,151.08464174486,39.657291852779004,24.886710410947998,82.973755580396,44.349222782169,14.670830895499,103.66241648076999,2.79,40.272794730109
2016-03-23,57.31756155174401,140.96,13.312542817018,47.245130011861,41.425256491776,150.96706614818,39.532523025556,24.337738857765004,82.490507149526,43.979250656286,14.543768402734,103.0893202877,2.68,39.659651649394
2016-03-24,56.877687038668,140.11,13.371188380088999,46.428594404743,41.004844400876,149.90888577798,39.139021339698,24.010282141832,81.958933875568,44.00771005058501,14.82721550198,102.64249952701,2.79,39.873765106152
2016-03-28,56.80118712335,141.29,13.312542817018,46.238702403087,40.985290350136,150.7319149548,39.052642920851,23.808029464344,82.036253624508,44.20692581067601,14.797893388264999,102.17625177672,2.78,39.53313006131
2016-03-29,56.447375015005996,141.9,13.117057606783,45.621553397707004,40.78974984274,151.89787295528998,39.009453711428,23.865815943626,81.63998991119402,45.013275315806,14.944503956840999,104.59491198134,2.86,39.610989500131
2016-03-30,57.097624295206,142.46,13.175703169854,46.191229402672995,40.946182248656996,153.33817401473,39.58894547243,24.145117260158,82.490507149526,45.098653498702,14.915181843126,106.4210490033,2.86,39.873765106152
2016-03-31,56.629062313886,141.88,13.214800211901,45.915886000273,40.819080918850005,153.80847640148,39.202617631761996,24.087330780875,81.736639597368,45.32632865309201,14.778345312455,105.86737979984001,2.85,39.815370527036
2016-04-01,57.250624125841,143.79,13.253897253947999,46.001337401018,41.523026745474,156.59109885645,39.308857787945,24.588146934656,82.432517337821,45.288382794027,14.768571274549998,106.83872927959999,2.83,40.058681273351
2016-04-04,57.030686869303,143.22,13.205025951389,46.048810401432,41.122168705313,154.58251574635,39.289541395911996,24.116224020516,82.461512243673,44.804573090949,14.651282819689,107.93635419174,2.83,39.971089404678004
2016-04-05,56.221467663725,141.2,12.892249615012,45.108844993238,40.584432309975,152.2114078798,38.68107504686,23.48057274841,80.161249712732,43.789521360961,14.592638592259,106.66388637325001,2.76,39.445538192637
2016-04-06,56.654977952428,141.7,12.970443699107001,45.650037197956,40.926628197917,152.05464041753999,38.719707830927,23.519097067932,80.992437013828,44.093088233481,14.553542440639,107.78093827498002,2.8,39.659651649394
2016-04-07,55.21957721872401,140.81,12.559924757613,44.558158188437005,39.372081164122,147.37121248278,37.763546425274,22.844921476304002,78.740499325974,43.647224389468,14.543768402734,105.43027253394001,2.64,38.90052212089
2016-04-08,55.62418682151301,141.06,12.589247539148,44.69108258959601,39.567621671517,147.24383891969998,38.033975913742,22.873814715945002,79.078773227583,43.732602572363994,14.612186668069,105.54683447151,2.74,39.280086885142005
2016-04-11,56.067330672187005,140.99,12.677215883754,44.653104189265,40.203128320553006,149.12504846672,38.178848853992,23.220533591639,79.175422913757,44.282817528806,14.690378971308999,105.89652028423001,2.76,39.3092841747
2016-04-12,57.107755365073004,142.4,12.970443699107001,45.35570459539001,40.965736299397,151.19241937516,38.883897163211,23.673194346018,80.083929963793,44.709708443286,14.758797236645,107.2758365455,2.81,39.484467912047
2016-04-13,59.525779419835,144.04,13.478705245718,46.552024205818995,43.263337261295995,156.62049275562,39.695185628613,24.92523473047,82.80945111390001,45.895516539066,14.84676357779,108.82999571313,2.8,40.353868615702
2016-04-14,60.296464377528,143.72,13.82080436363,46.324153803832,43.97706011329,157.65907719304,39.869033156914,25.204536047001,82.34275466521301,46.02951804721,14.768571274549998,108.88827668191,2.72,40.285488785077
2016-04-15,59.60284791560501,143.45,13.683964716465,45.811445399363,43.918397961070994,155.31736322565,39.695185628613,24.809661771905,81.827444003121,45.991231902025994,14.78811935036,106.70274035243999,2.7,40.070580745972
2016-04-18,59.988190394450996,144.38,13.850127145165,46.371626804246,44.104161443097,155.80726154519,39.801425784797004,24.780768532264,82.653885631004,46.62295329755801,14.82721550198,104.40064208538999,2.76,40.285488785077
2016-04-19,60.999714401424,145.95,14.123806439493999,47.359065212854006,44.612566762326004,159.36392334502,40.477499505965,25.483837363533002,83.878963808808,46.699525587926,14.885859729410999,103.84697288192,2.62,40.1096549349
2016-04-20,61.886002102770995,146.09,14.592970944059,47.900257417572,45.697816578372,163.6064427922,41.269471579334,26.398789952171,85.30822168291199,46.95795706791601,14.70992704712,104.06066976747,2.7,40.148729123828
2016-04-21,61.269454136616,144.86,14.563648162523998,47.520473414261,45.560938223195,161.97998037134,41.105282247051,26.254323753965,85.084596301249,46.565524079783,14.680604933404,102.93390437094,2.62,40.041275104274995
2016-04-22,61.625895929548996,146.11,14.768907633271,48.061665618979,45.92268816187701,163.38108956521,41.819988752286,26.678091268702,85.648521176746,46.756954805702,14.670830895499,102.65221302181,3.99,39.757987234545
2016-04-25,61.269454136616,146.18,14.622293725594,47.957225018069,45.648931451523,161.75462714436,41.578533851869004,26.514362910735002,85.279053154869,46.81438402347701,14.553542440639,102.06940333395,3.45,39.836135612402
2016-04-26,61.587361681665,147.02,14.749359112247,48.346503621462,46.049789491683995,162.48947462366004,41.887596124403,26.533625070496,86.416625748543,47.991682987879,14.749023198739998,101.36031821371999,3.66,39.709144498385
2016-04-27,61.76076579714599,147.6,14.680939288665,48.355998221545,46.274661075189,163.54765499386002,42.04212726067,26.658829108941003,86.523577018034,47.197245475315,14.661056857594,95.01740611083599,3.73,39.904515443026
2016-04-28,61.269454136616,146.07,14.456131296894,47.862279017241,45.736924679851,160.97078983309999,41.655799420002,26.368322435034,85.745749603556,46.661239442742,14.475350137398,92.11307116633199,3.61,39.396550986958
